0,1,2,3,4,5
1,-22,-4.312603,7.49428415,63,108140.586
2,23,4.40952778,6.45249128,155,82313.4531
2,-26,-4.68829393,4.0260272,308,32045.6719
3,34,5.361269,4.46025467,183,48038.2734
3,-21,-4.21344948,1.50857139,192,5495.40625
3,34,5.361269,1.56252623,52,5895.52783
3,-34,-5.361269,5.38190079,279,69942.2188
3,38,5.66787052,7.61517477,209,140032.188
3,-24,-4.50436687,1.26893139,120,3888.16211
3,30,5.03603554,5.95478153,353,85624.8281
3,-28,-4.86527205,4.01395607,349,38905.7031
4,23,4.40952778,4.5636816,202,48355.7031
4,-18,-3.90089607,3.81385946,89,33771.1914
4,41,5.88735294,1.5532136,161,5601.17773
4,-29,-4.95138979,2.87812042,171,19232.4648
4,21,4.21344948,3.57028079,80,29595.2324
4,-42,-5.95871735,2.7306838,95,17312.502
5,28,4.86527205,3.60510969,202,30537.8867
5,-21,-4.21344948,7.0916996,30,118168.75
5,41,5.88735294,2.21802521,66,11559.3906
5,-20,-4.11190557,4.37613201,3,44996.9258
5,22,4.312603,1.6718328,285,6567.3125
5,-19,-4.00779009,1.51934767,343,5423.95752
6,27,4.7776022,7.68523788,22,126035.195
6,-24,-4.50436687,2.82315087,260,17007.6914
6,21,4.21344948,3.72352862,148,29586.0215
6,-38,-5.66787052,2.36093736,271,11894.498
7,28,4.86527205,5.27696228,306,58978.0781
7,-26,-4.68829393,7.91553402,222,132703.719
7,28,4.86527205,2.38091278,79,12006.3135
8,-38,-5.66787052,5.02434444,4,61964.0742
8,41,5.88735294,4.17874622,352,42862.0742
8,-33,-5.28183842,2.18965673,346,11768.8281
8,22,4.312603,3.56934619,195,31272.2051
8,-34,-5.361269,1.00947952,198,2501.36011
8,40,5.81511259,6.33625221,107,98547.6094
8,-23,-4.40952778,3.41195107,122,28575.0352
8,39,5.74196386,1.68282437,180,6951.18408
8,-29,-4.95138979,4.25351572,335,44409.6406
9,30,5.03603554,5.84421444,330,94022.8516
9,-32,-5.20119476,7.7406168,248,164942.375
9,38,5.66787052,2.54295921,52,17801.6348
9,-36,-5.51670027,5.52652073,52,84078.4609
9,29,4.95138979,2.23819256,137,13790.373
9,-41,-5.88735294,7.32978249,359,147898.344
9,33,5.28183842,6.6784029,266,122779.641
9,-28,-4.86527205,6.93846035,239,132527.906
9,38,5.66787052,2.7230351,327,20412.0977
10,-34,-5.361269,1.07187247,287,3224.50366
10,35,5.43953991,4.9747839,67,69458.4453
10,-42,-5.95871735,4.20669079,267,49665.8438
10,41,5.88735294,2.85318995,221,22847.4629
10,-39,-5.74196386,4.58785725,259,59074.0078
10,24,4.50436687,4.12532187,178,47763.0742
10,-30,-5.03603554,7.29573154,48,149387.516
10,30,5.03603554,1.37041569,231,5270.85742
10,-19,-4.00779009,3.6001296,82,36375.8281
10,27,4.7776022,7.39630461,324,153534.578
10,-31,-5.11928129,4.6916399,317,61776.8828
10,39,5.74196386,5.4148407,315,82290.1797
11,-28,-4.86527205,1.23614025,20,3576.08472
11,36,5.51670027,7.83051348,214,143500.297
11,-40,-5.81511259,1.45370698,273,4945.68066
11,36,5.51670027,3.47419381,40,28247.5234
11,-38,-5.66787052,4.79085636,93,53715.3789
11,35,5.43953991,6.93521261,340,112562.023
11,-36,-5.51670027,4.14575624,216,40223.4961
12,16,3.67780018,7.72780228,80,154851.625
12,-40,-5.81511259,4.19319248,145,45592.4922
12,30,5.03603554,7.00791931,350,127345.016
12,-28,-4.86527205,1.12988949,169,3310.36353
12,17,3.79098964,7.07448816,358,129775.812
12,-35,-5.43953991,6.92961502,284,124515.102
12,29,4.95138979,1.04627275,206,2838.53076
12,-34,-5.361269,1.73275709,218,7785.3667
12,35,5.43953991,3.47397184,334,31293.6582
13,-20,-4.11190557,1.05690384,247,2991.47949
13,40,5.81511259,5.38802767,136,77745.3984
13,-39,-5.74196386,5.60214138,190,84047.1953
13,39,5.74196386,6.20851231,326,103226.266
13,-30,-5.03603554,5.47699165,349,80333.9766
13,18,3.90089607,2.79908156,169,20981.9648
13,-27,-4.7776022,5.19053841,220,72150.5938
13,42,5.95871735,4.39693546,17,51774.418
13,-21,-4.21344948,1.29368663,244,4482.01465
13,27,4.7776022,2.00031328,107,10715.4668
13,-23,-4.40952778,6.27508926,79,105452.016
13,29,4.95138979,4.44227505,56,52847.6836
14,-39,-5.74196386,7.32123756,172,125863.438
14,27,4.7776022,3.06866717,280,22112.1113
14,-28,-4.86527205,7.10952377,103,118689.32
14,37,5.59279633,7.77597284,249,141984.219
14,-25,-4.59724998,1.77699709,8,7414.87842
15,20,4.11190557,5.00213909,10,64286.0898
15,-42,-5.95871735,1.96697974,357,9940.43066
15,19,4.00779009,6.03225613,135,93489.9688
15,-32,-5.20119476,4.15275908,66,44307.6719
15,32,5.20119476,6.42601871,130,106093.664
15,-15,-3.56101489,7.10775852,341,129798.828
16,15,3.56101489,6.12107658,314,103910.711
16,-36,-5.51670027,5.94394302,12,97983.7422
16,35,5.43953991,3.87581015,286,41661.0039
16,-23,-4.40952778,6.75210762,168,126439.695
16,26,4.68829393,6.69297886,184,124234.906
16,-34,-5.361269,6.89984322,258,132033.188
16,34,5.361269,4.6707201,153,60502.3789
16,-20,-4.11190557,3.80907297,173,40238.6406
16,38,5.66787052,5.10972023,73,72410.0781
16,-34,-5.361269,4.09193516,109,46436.793
17,38,5.66787052,6.15399313,171,106552.734
17,-17,-3.79098964,6.17670536,308,107340.695
17,17,3.79098964,2.90002346,172,23662.1191
17,-36,-5.51670027,7.7158432,142,167501.0
17,32,5.20119476,6.18937302,294,107781.414
17,-20,-4.11190557,5.80650711,195,94859.4297
17,20,4.11190557,3.97851443,35,44534.0781
17,-17,-3.79098964,3.89456224,121,42674.4453
17,25,4.59724998,6.91171741,70,134407.188
17,-41,-5.88735294,1.25452352,337,4428.00635
17,41,5.88735294,1.79420543,122,9057.21973
17,-25,-4.59724998,7.23143768,44,147129.547
18,22,4.312603,5.79192352,44,85627.1172
18,-34,-5.361269,3.88433337,184,38512.2305
18,22,4.312603,3.01368761,28,23182.5977
18,-36,-5.51670027,7.06340981,203,127348.688
18,36,5.51670027,2.74414873,147,19221.2188
18,-26,-4.68829393,5.91447639,309,89289.0625
18,22,4.312603,5.63116264,205,80939.7422
19,-19,-4.00779009,3.95002747,351,41018.625
19,14,3.44026709,1.13311553,110,3375.43091
19,-19,-4.00779009,5.29216099,53,73628.6719
19,41,5.88735294,4.37539434,310,50328.6484
19,-20,-4.11190557,3.27451968,34,28188.7695
19,36,5.51670027,1.87526536,352,9244.98828
19,-17,-3.79098964,4.60824871,276,55828.0781
19,25,4.59724998,3.83357954,48,38635.7969
19,-30,-5.03603554,3.97771001,193,41595.5703
19,18,3.90089607,4.37558937,346,50333.1367
20,-37,-5.59279633,6.53491497,296,106753.273
20,18,3.90089607,3.33396697,173,27785.8672
20,-41,-5.88735294,6.98502684,112,121965.641
20,21,4.21344948,1.35068727,195,4560.48438
20,-20,-4.11190557,1.01391053,319,2569.80762
20,16,3.67780018,3.80198002,102,36134.4141
20,-20,-4.11190557,4.89862919,245,59986.082
20,31,5.11928129,5.26523113,94,69300.4766
21,-33,-5.28183842,6.75403023,171,130642.633
