0,1,2,3,4,5
1.0,22.0,-4.312603,7.494284,63.0,108140.586
1.0,-22.0,-4.312603,7.494284,63.0,108140.586
2.0,23.0,4.409528,6.452491,155.0,82313.4531
2.0,-23.0,4.409528,6.452491,155.0,82313.4531
3.0,34.0,5.361269,1.562526,52.0,5895.52783
3.0,-34.0,5.361269,1.562526,52.0,5895.52783
3.0,30.0,5.036036,5.954782,353.0,85624.8281
3.0,-30.0,5.036036,5.954782,353.0,85624.8281
3.0,34.0,-5.361269,5.381901,279.0,69942.2188
3.0,-34.0,-5.361269,5.381901,279.0,69942.2188
3.0,24.0,-4.504367,1.268931,120.0,3888.16211
3.0,-24.0,-4.504367,1.268931,120.0,3888.16211
4.0,29.0,-4.95139,2.87812,171.0,19232.4648
4.0,-29.0,-4.95139,2.87812,171.0,19232.4648
4.0,23.0,4.409528,4.563682,202.0,48355.7031
4.0,-23.0,4.409528,4.563682,202.0,48355.7031
4.0,42.0,-5.958717,2.730684,95.0,17312.502
4.0,-42.0,-5.958717,2.730684,95.0,17312.502
5.0,20.0,-4.111906,4.376132,3.0,44996.9258
5.0,-20.0,-4.111906,4.376132,3.0,44996.9258
5.0,21.0,-4.213449,7.0917,30.0,118168.75
5.0,-21.0,-4.213449,7.0917,30.0,118168.75
5.0,22.0,4.312603,1.671833,285.0,6567.3125
5.0,-22.0,4.312603,1.671833,285.0,6567.3125
6.0,27.0,4.777602,7.685238,22.0,126035.195
6.0,-27.0,4.777602,7.685238,22.0,126035.195
6.0,24.0,-4.504367,2.823151,260.0,17007.6914
6.0,-24.0,-4.504367,2.823151,260.0,17007.6914
7.0,28.0,4.865272,5.276962,306.0,58978.0781
7.0,-28.0,4.865272,5.276962,306.0,58978.0781
7.0,26.0,-4.688294,7.915534,222.0,132703.719
7.0,-26.0,-4.688294,7.915534,222.0,132703.719
8.0,39.0,5.741964,1.682824,180.0,6951.18408
8.0,-39.0,5.741964,1.682824,180.0,6951.18408
8.0,38.0,-5.667871,5.024344,4.0,61964.0742
8.0,-38.0,-5.667871,5.024344,4.0,61964.0742
8.0,33.0,-5.281838,2.189657,346.0,11768.8281
8.0,-33.0,-5.281838,2.189657,346.0,11768.8281
8.0,40.0,5.815113,6.336252,107.0,98547.6094
8.0,-40.0,5.815113,6.336252,107.0,98547.6094
8.0,22.0,4.312603,3.569346,195.0,31272.2051
8.0,-22.0,4.312603,3.569346,195.0,31272.2051
9.0,38.0,5.667871,2.542959,52.0,17801.6348
9.0,-38.0,5.667871,2.542959,52.0,17801.6348
9.0,29.0,4.95139,2.238193,137.0,13790.373
9.0,-29.0,4.95139,2.238193,137.0,13790.373
9.0,33.0,5.281838,6.678403,266.0,122779.641
9.0,-33.0,5.281838,6.678403,266.0,122779.641
9.0,41.0,-5.887353,7.329782,359.0,147898.344
9.0,-41.0,-5.887353,7.329782,359.0,147898.344
9.0,30.0,5.036036,5.844214,330.0,94022.8516
9.0,-30.0,5.036036,5.844214,330.0,94022.8516
